date;placette;element;type;azimut;distance;stade_saproxylation;anciennete;essence;epiphytes;fourches;notes;longueur_tot;circ_ml;volume_1;volume_2;volume_3;volume_4;volume_5;volume_6;volume_tot
14/06/2023;BM04;15;billon;137;9,62;4;> 3 ans;chêne;;;;0,43;67,55;0,015842201;0,015489872;0,008983541;;;;0,040315614
14/06/2023;BM04;16;billon;135;8,8;3;> 3 ans;;;;;4,5;24,75;0,023834474;;;;;;0,023834474
14/06/2023;BM04;17;billon;142;12,82;3;> 3 ans;;couvert de mousse;1;fourche avec le brin principal partant vers le haut;2;27;0,009413736;0,137525916;;;;;0,146939652
14/06/2023;BM04;18;billon;126;12,5;3;> 3 ans;;couvert de mousse;;;1,5;22,6;0,006468932;;;;;;0,006468932
14/06/2023;BM04;19;billon;113;11,69;4;> 3 ans;;mousse;;;1;37,9;0,009162179;;;;;;0,009162179
14/06/2023;BM04;20;billon;142;9,41;3;> 3 ans;;;;;1,5;22,1;0,00568528;;;;;;0,00568528
14/06/2023;BM04;21;billon;205;16,6;4;> 3 ans;;;;;8,5;133,5;1,314806492;;;;;;1,314806492
14/06/2023;BM04;22;billon;195;12,36;3;> 3 ans;;un peu de mousse;;dans un tas de bois;1,08;40,5;0,015000292;;;;;;0,015000292
14/06/2023;BM04;23;billon;196;12,83;3;> 3 ans;;un peu de mousse;;dans un tas de bois;1,4;38,75;0,013020689;;;;;;0,013020689
14/06/2023;BM04;24;billon;190;12,25;3;> 3 ans;;un peu de mousse;;dans un tas de bois;1,5;22,9;0,006201061;;;;;;0,006201061
19/06/2023;BM05;1;billon;92;10,7;2;≤ 3 ans;chêne;un peu de mousse;;;10;66,6;0,296240149;;;;;;0,296240149
19/06/2023;BM05;2;billon;76;12,52;2;≤ 3 ans;chêne;un peu de mousse;;branche détachée de 1;2,12;21,45;0,008402504;;;;;;0,008402504
19/06/2023;BM05;3;billon;93;9,35;1;frais;noisetier;;;avec d'autres petits billons de noisetiers;5;23,9;0,023371877;;;;;;0,023371877
19/06/2023;BM05;4;billon;97;13,35;2;≤ 3 ans;chêne;;;;2,18;30,65;0,013989142;;;;;;0,013989142
19/06/2023;BM05;5;bllon;96;16,91;4;> 3 ans;;couvert de mousse;;;1;42,4;0,019929223;;;;;;0,019929223
19/06/2023;BM05;6;billon;96;17,17;4;> 3 ans;;couvert de mousse;;;1,5;36,3;0,01807906;;;;;;0,01807906
19/06/2023;BM05;7;billon;121;10,14;4;> 3 ans;;;;décomposé de l'intérieur mais présence d'écorce;6;22,9;0,030734889;;;;;;0,030734889
19/06/2023;BM05;8;billon;97;8,83;1;≤ 3 ans;noisetier;;;;7;21,65;0,028620091;;;;;;0,028620091
19/06/2023;BM05;9;billon;97;8,83;1;≤ 3 ans;noisetier;;;;4;22;0,01558737;;;;;;0,01558737
19/06/2023;BM05;10;billon;188;19,95;3;> 3 ans;;couvert de mousse;;;1,32;31,4;0,010005661;;;;;;0,010005661
19/06/2023;BM05;11;billon;271;15,08;3;> 3 ans;;mousse;;recouvert par la végétation;7,7;29,65;0,050836932;;;;;;0,050836932
19/06/2023;BM05;12;billon;288;8;3;> 3 ans;noisetier;;;;3,42;27,2;0,019101058;;;;;;0,019101058
