"reference";"total_length";"total_volume";"mean_circ";"num_orders";"length_ord01";"volume_ord01";"circ_ord01";"inv_circ_ord01"
BM01_cl_dw_cluster_189_QSM;14.1877937316895;0.00484769630432129;6.22996460839927;4;8.83119106292725;0.00319563364982605;7.17724661240783;NA
BM01_cl_dw_cluster_19_QSM;3.27307391166687;0.00111189246177673;6.33469888364899;3;2.60561048984528;0.000757493168115616;7.09760784761108;NA
BM01_cl_dw_cluster_190_QSM;9.48581695556641;0.00581858158111572;8.21216185729499;4;7.42542815208435;0.00448026156425476;8.47024746883987;NA
BM01_cl_dw_cluster_191_QSM;4.36809158325195;0.00134274446964264;5.9751099209322;4;2.9116233587265;0.000832958281040192;6.83095581894182;NA
BM01_cl_dw_cluster_192_QSM;9.52776432037354;0.00393064594268799;6.72732148253404;3;7.48997330665588;0.00301680779457092;7.92283708022023;NA
BM01_cl_dw_cluster_193_QSM;7.43721389770508;0.0609730072021484;30.1470090893987;3;4.75947070121765;0.0350144324302673;39.2802396317295;45.4491590183433
BM01_cl_dw_cluster_194_QSM;11.1763877868652;0.00369650268554688;6.04439058702807;5;4.32453179359436;0.00155401837825775;7.17557229617585;NA
BM01_cl_dw_cluster_195_QSM;5.85860967636108;0.00313513898849487;7.22990506963398;5;3.13776552677155;0.00215483713150024;7.81417493983952;NA
BM01_cl_dw_cluster_196_QSM;10.6704320907593;0.00238343620300293;5.16363993923135;4;7.49777770042419;0.00169321954250336;5.32332173487121;NA
BM01_cl_dw_cluster_197_QSM;10.3521060943604;0.00543587732315064;6.96467280439517;4;5.67748081684113;0.00263310790061951;7.52070710190235;NA
BM01_cl_dw_cluster_198_QSM;19.9620494842529;0.00837638282775879;6.68994633147206;5;8.97726464271545;0.00406305408477783;7.9190488496742;NA
BM01_cl_dw_cluster_199_QSM;2.66166377067566;0.00129987263679504;6.90361477975088;3;1.67837250232697;0.000545017689466476;8.84378884295712;NA
BM01_cl_dw_cluster_2_QSM;3.23223876953125;0.00238653826713562;9.29555560842797;2;1.24798440933228;0.000901757583022118;9.25518464951217;NA
BM01_cl_dw_cluster_20_QSM;3.68922281265259;0.0014776086807251;6.40916974814429;2;3.25452387332916;0.00122160616517067;6.50904324663505;NA
BM01_cl_dw_cluster_200_QSM;6.21752309799194;0.00306242060661316;7.13143235711273;5;4.45961236953735;0.00164557099342346;8.03792245877865;NA
BM01_cl_dw_cluster_201_QSM;5.37710857391357;0.00265305805206299;7.12388683371933;5;3.82939195632935;0.00181526899337769;8.72746245897333;NA
BM01_cl_dw_cluster_202_QSM;2.93659424781799;0.00386093282699585;10.1443107549556;2;2.45262861251831;0.00270568472146988;12.0159249535424;21.6256461938244
BM01_cl_dw_cluster_203_QSM;7.49093008041382;0.00289225935935974;6.51441113313769;4;5.36051869392395;0.00179743826389313;7.55176893383386;NA
BM01_cl_dw_cluster_204_QSM;3.45493364334106;0.00162028789520264;6.9693436627705;3;2.71416091918945;0.00105166333913803;8.08647563289862;NA
BM01_cl_dw_cluster_206_QSM;7.14980459213257;0.00378783321380615;7.9324698887677;4;5.46829104423523;0.00287478005886078;7.62389975477828;NA
BM01_cl_dw_cluster_207_QSM;21.8471069335938;0.00778008460998535;6.3999501963026;5;10.824108839035;0.00398977565765381;6.66792935022324;NA
BM01_cl_dw_cluster_208_QSM;17.91628074646;0.00955767631530762;7.49088205999221;4;9.80177807807922;0.00485719466209412;8.60642764581024;NA
BM01_cl_dw_cluster_209_QSM;2.23525595664978;0.000571935057640076;5.65524513205121;2;1.66090266406536;0.000397273816168308;5.57367168630586;NA
BM01_cl_dw_cluster_21_QSM;30.3944816589355;0.00757609844207764;5.41082743584212;5;14.0834770202637;0.00372715592384338;6.19774918349802;NA
BM01_cl_dw_cluster_210_QSM;18.6246738433838;0.00670631980895996;6.44979327458688;5;5.8696745634079;0.00235905891656876;8.31982651542107;NA
BM01_cl_dw_cluster_211_QSM;8.52417850494385;0.00303649306297302;6.2939103866492;5;2.37749123573303;0.000978759765625;7.69170168631431;NA
BM01_cl_dw_cluster_212_QSM;5.89300346374512;0.00405528926849365;8.31381295510901;3;4.4077615737915;0.0028043999671936;9.641866779864;NA
BM01_cl_dw_cluster_213_QSM;5.18698740005493;0.00341934514045715;8.53589509496737;4;4.17879807949066;0.00278170728683472;9.30041973766342;NA
BM01_cl_dw_cluster_214_QSM;10.4688243865967;0.0143223457336426;12.2521224306659;2;8.41744780540466;0.0102942459583282;12.9261670555215;23.8752034123407
BM01_cl_dw_cluster_215_QSM;2.79771184921265;0.00309724569320679;11.3226680658112;3;2.14252990484238;0.00233375453948975;13.6686828299982;NA
BM01_cl_dw_cluster_216_QSM;31.9928607940674;0.0203446445465088;8.07560187018284;6;14.8035225868225;0.00960006618499756;9.03666280567516;20.6925876801921
BM01_cl_dw_cluster_217_QSM;27.5178260803223;0.0566241989135742;15.4383644616376;4;15.5825610160828;0.0329775104522705;17.320217579192;23.3491258995578
BM01_cl_dw_cluster_218_QSM;11.643461227417;0.00407015895843506;6.17307869585101;8;3.47515404224396;0.00156460905075073;6.9926980945151;NA
BM01_cl_dw_cluster_219_QSM;7.7367262840271;0.00494351482391357;8.59696853760879;3;5.86868953704834;0.00384829330444336;9.52681064902706;NA
